ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
1.24514E+18,Un vaso de vino mantiene la distancia-DRAKE corona. No Se DIGA ms saludos a que,1,0,0,0,0,0,0,0,0,1
1.24514E+18,¿Puede alguien decirme si tomó la vacuna contra la gripe el año pasado se le dará un resultado positivo para coronavirus incluso si usted no lo tiene ???,0,0,0,0,1,0,0,0,0,0
1.24514E+18,Por cierto productores envían me pega Im trabajando en la música y humo en voz alta mientras hablamos de conseguir a través de pandemia de coronavirus,1,0,0,0,0,0,0,0,0,1
1.24514E+18,Cuando alguien que sabe .. aparte de sus matrices de la familia de coronavirus su impactante inexplicable. Mi día entero ha sido hacia abajo.,0,0,0,0,0,1,0,0,0,0
1.24514E+18,"Estimado fútbol, realmente te extraño, por favor regrese ya :( También querida corona, Frick u para arruinando todo",0,0,0,0,0,1,1,0,0,0
1.24514E+18,nuevo hogar remedio para el coronavirus del placer! probado por los principales funcionarios en la Casa Blanca,1,0,0,0,0,0,0,1,0,1
1.24514E+18,"Cuando Xavier Wulf hace un ataque a la cinta de Titán como lo hizo Proyecto X para Initial D, el coronavirus desaparecerá oficialmente",0,0,0,0,0,0,0,0,0,1
1.24514E+18,El enjuague bucal es parte san por la boca y no sé cómo se sienten al respecto ShowerThoughts StayAtHome coronavirus,0,0,0,0,0,1,0,0,0,1
1.24514E+18,Si todos ellos! n Francia 1.000 cristianos tomaron el coronavirus de una reunión del domingo Iglesia!,0,0,0,0,0,0,1,0,1,0
1.24514E+18,Actualización destruí el neumático honestamente si consigo virus de la corona debido a lo que acaba de pasar me lo merecía,0,0,0,1,0,1,0,0,0,0
1.24514E+18,Esto se siente como un gran experimento de la prisión de Stanford. Uf! Corona en cuarentena,0,0,0,0,0,1,1,0,0,0
1.24514E+18,"Mi tío paranoico sobre virus de la corona, pero todavía va a trabajar ....... escoger uno",0,0,0,0,0,0,1,0,0,1
1.24514E+18,"Lol ..... happy new bro meses, me envía rápidamente algo antes de coronavirus trapo del inocente finalmente 0124152280 GTBank",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Alguien ahora debe venir y decirnos toda esta mierda coronavirus es sólo para tener la mejor .Es AprilFoolsDay sería una buena noticia aunque,1,0,0,0,0,0,1,0,0,0
1.24514E+18,Este virus de la corona me está convirtiendo en un milenio. Me voy a quedar en casa. No funciona. Quejándose de todo.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,Si alguna vez se quedó en el palacio de Pocono en la torre de champán inmunológico Suite estás a la corona,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Todo es más grande y CRAZIER en Texas. Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA,0,0,0,0,0,0,1,0,0,0
1.24514E+18,no puedo dejar de ver vídeos de cardi b diciendo coronavirus,0,0,0,0,0,0,0,0,0,1
1.24514E+18,"20 años a partir de ahora * Hey mamá, durante el 2020 ¿cómo sobreviviste el virus de la corona?",1,0,0,1,0,1,0,0,0,0
1.24514E+18,¿Estás diciendo que ambos son equivalentes? O incluso se aproxima? Hablar de noticias falsas! coronavirus UKlockdown,0,0,0,0,1,0,1,1,0,0
1.24514E+18,"Bueno, un pañuelo rojo en la perilla de la puerta HA técnicamente impedido coronavirus para unas pocas personas ya sólo decir",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Si la corona get weh una de las Bermudas el camino más real nadie nah lef óvulos deh,1,0,0,0,1,0,0,0,0,1
1.24514E+18,"empresas por mujeres fundada, como consecuencia, tienen menos efectivo en la mano para llevarlas a cabo cualquier tipo de evento inesperado, como COVID19.",0,0,0,1,1,1,0,0,0,1
1.24514E+18,"Todo lo que Twerk Aire ha transformado en el virus de la corona y YALL todavía perreo, mi Señor !!",0,0,0,0,0,0,0,0,0,1
